Point Format,Y,,,
Horizontal Units,S,,,hh
Horizontal Scale,0.0004,,,
Sample Interval,3.20E-08,,,
Filter Frequency,2.00E+08,,,
Record Length,200000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,10,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,5,,,
Label,,,,
TIME,CH1,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,1.49E-08,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,1.49E-08,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.4,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,1.49E-08,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,1.49E-08,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.4,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.97E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,1.49E-08,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,1.49E-08,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,1.49E-08,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,1.49E-08,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.4,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.4,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.4,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,1.49E-08,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.4,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.4,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.4,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,1.49E-08,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.4,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.98E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.4,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.4,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.4,,,
2.99E-03,-0.2,,,
2.99E-03,-0.4,,,
2.99E-03,-0.2,,,
2.99E-03,-0.4,,,
2.99E-03,-0.2,,,
2.99E-03,-0.4,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.4,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.4,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.4,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.4,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.4,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.4,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.4,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.4,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.4,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.4,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.4,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.4,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.4,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
2.99E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.4,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.4,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.4,,,
3.00E-03,-0.2,,,
3.00E-03,-0.4,,,
3.00E-03,-0.2,,,
3.00E-03,-0.4,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.4,,,
3.00E-03,-0.4,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.4,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.4,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.4,,,
3.00E-03,-0.4,,,
3.00E-03,-0.2,,,
3.00E-03,-0.4,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.4,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.2,,,
3.00E-03,-0.4,,,
3.00E-03,-0.2,,,
3.00E-03,-0.4,,,
